name        |obsid      |ra         |dec       |start_time         |processing_date    |xrt_exposure|uvot_exposure|bat_exposure|archive_date|_offset
ASASSN-14LI |00094094009|12 47 58.92|17 41 55.5|2018-04-16T03:02:57|2018-04-26T00:00:00|  1597.15400|   1584.41500|  1603.00000|  2018-04-27| 5.9569
ASASSN-14LI |00094094010|12 47 57.10|17 41 59.5|2018-04-16T06:14:57|2018-04-26T00:00:00|  1597.15300|   1584.39300|  1603.00000|  2018-04-27| 6.1995
ASASSN-14LI |00094094012|12 48 01.97|17 42 02.1|2018-04-16T12:36:57|2018-04-26T00:00:00|  1536.97500|   1525.26900|  1543.00000|  2018-04-27| 5.4202
ASASSN-14LI |00094094005|12 48 07.20|17 42 46.9|2018-04-15T15:54:57|2018-04-25T00:00:00|  1493.15800|   1480.24300|  1499.00000|  2018-04-26| 4.1291
ASASSN-14LI |00094094002|12 48 05.29|17 42 50.6|2018-04-15T04:44:57|2018-04-25T00:00:00|  1613.16000|   1601.36200|  1620.00000|  2018-04-26| 4.3071
ASASSN-14LI |00094094011| 12 48 12.3|17 43 11.3|2018-04-16T09:24:57|2018-04-26T00:00:00|  1634.76100|   1623.47100|  1642.00000|  2018-04-27| 3.3398
BRUTUS6984_2|00033539029|12 48 26.94|17 43 15.7|2015-02-24T13:35:59|2015-03-06T00:00:00|  2479.70500|   2405.89400|  2497.00000|  2015-03-07| 4.2290
ASASSN-14LI |00094094003|12 48 07.17|17 43 25.3|2018-04-15T07:54:57|2018-04-25T00:00:00|  1613.00400|   1601.85800|  1620.00000|  2018-04-26| 3.5771
ASASSN-14LI |00094094004|12 48 02.49|17 43 26.5|2018-04-15T11:06:57|2018-04-25T00:00:00|  1613.16000|   1601.69300|  1620.00000|  2018-04-26| 4.2654
BRUTUS6984_2|00033539022|12 48 10.97|17 43 38.3|2015-01-31T23:58:59|2015-02-11T00:00:00|  2922.09300|   2988.63000|  3084.00000|  2015-02-11| 2.9805
