name                 |obsid      |ra         |dec       |start_time         |processing_date    |xrt_exposure|uvot_exposure|bat_exposure|archive_date|_offset
SwiftJ164449.3+573451|00033765007|16 44 41.75|57 28 11.4|2015-06-13T18:29:47|2015-06-23T00:00:00|   491.56000|    489.01200|   497.00000|  2015-06-24| 6.7453
SwiftJ164449.3+573451|00033765158|16 44 36.41|57 28 24.7|2018-06-01T18:40:18|2018-06-11T00:00:00|   506.46800|    505.46200|   513.00000|  2018-06-12| 6.6734
SwiftJ164449.3+573451|00032200157|16 45 12.35|57 28 25.5|2012-05-14T13:47:00|2017-04-24T00:00:00|  1126.24500|   1125.21400|  1140.00000|  2012-05-25| 7.1458
SwiftJ164449.3+573451|00032200190|16 44 57.80|57 29 00.9|2012-06-22T20:50:59|2017-04-26T00:00:00|   970.32100|    426.87500|   976.00000|  2012-07-03| 5.9586
SwiftJ164449.3+573451|00033765212| 16 44 42.5|57 29 03.4|2019-07-12T17:23:36|2019-07-22T00:00:00|  1602.16600|   1602.00100|  1609.00000|  2019-07-23| 5.8818
SwiftJ164449.3+573451|00032200156|16 45 06.56|57 29 39.5|2012-05-13T13:41:00|2017-04-24T00:00:00|  1125.88000|   1122.87500|  1137.00000|  2012-05-24| 5.6998
SwiftJ164449.3+573451|00032200158| 16 45 03.9|57 30 08.6|2012-05-15T13:48:00|2017-04-24T00:00:00|  1125.81400|   1124.44200|  1138.00000|  2012-05-26| 5.0722
SwiftJ164449.3+573451|00033765254|16 44 51.94|57 30 15.5|2020-05-15T09:50:36|2020-05-25T00:00:00|  1637.26900|   1636.56800|  1644.00000|  2020-05-26| 4.6167
SwiftJ164449.3+573451|00032200136|16 45 05.76|57 30 22.3|2012-04-23T09:16:00|2017-04-23T00:00:00|  1120.74700|   1117.07200|  1132.00000|  2012-05-04| 5.0088
SwiftJ164449.3+573   |00031955087|16 44 39.22|57 30 29.6|2011-06-21T01:26:00|2016-09-16T00:00:00| 10830.90300|  10822.90700| 10970.00000|  2011-07-02| 4.5677
SwiftJ164449.3+573451|00032200146|16 45 09.80|57 30 32.1|2012-05-03T08:22:00|2017-04-23T00:00:00|  1070.61200|   1069.62000|  1077.00000|  2012-05-14| 5.1323
SwiftJ164449.3+573451|00033765110|16 44 44.64|57 30 33.3|2017-06-09T11:21:57|2017-06-19T00:00:00|  1883.77800|   1884.04700|  1899.00000|  2017-06-20| 4.3482
SwiftJ164449.3+573451|00033765054|16 44 58.30|57 30 39.5|2016-04-22T04:20:58|2016-05-02T00:00:00|  1597.28000|   1595.32700|  1603.00000|  2016-05-03| 4.3758
