Name	Disc Date	Host Name
2MASX J01190869-3411305	2010/07/01	GSN 069
2XMM J123103.2+110648	2003/07/13	SDSS J123103.24+110648.6
2XMMi J184725.1-631724	2006/09/01	IC 4765-f01-1504
3XMM J150052.0+015452	2005/07/23	SDSS J150052.07+015453.8
3XMM J152130.7+074916	2000/08/23	SDSS J152130.72+074916.5
3XMM J215022.4-055108	2005/05/01	6dFGS gJ215022.2-055059
ASASSN-14ae	2014/01/25	SDSS J110840.11+340552.2
ASASSN-14li	2014/11/22	SDSS J124815.23+174626.4
ASASSN-15lh	2015/06/14	APMUKS (BJ) B215839.70-615403.9
ASASSN-15oi	2015/08/14	2MASX J20390918-3045201
ASASSN-20il	2020/07/08	ESO 486-G 017
AT2016ezh	2016/08/26	SDSS J015804.75-005221.8
AT2017eqx	2017/06/07	SDSS J222648.38+170852.2
AT2018fyk	2018/09/08	LCRS B224721.6-450748
AT2018zr	2018/03/06	SDSS J075654.53+341543.6
AT2019azh	2019/02/22	KUG 0810+227
AT2019dsg	2019/04/09	WISEA J205702.96+141216.2
AT2020ocn	2020/04/29	SDSS J135353.80+535949.7
CSS100217	2002/12/31	SDSS J102912.58+404219.7
CXOU J0332	2014/10/01	CANDELS J033238.77-275133.7
D1-9	2004/06/22	WISEA J022517.01-043259.1
D23H-1	2007/09/04	SDSS J233159.53+001714.5
D3-13	2004/01/15	GALEX J141929.8+525206
DES14C1kia	2014/11/11	"Uncatalogued, 03:34:47.49 -26:19:35.0"
Dougie	2009/01/17	SDSS J120847.77+430120.1
F01004-2237	2010/06/25	IRAS F01004-2237
Gaia16aax	2016/01/26	SDSS J143418.47+491236.5
Gaia16ajq	2016/03/29	SDSS J145301.70+422127.8
Gaia16aka	2016/03/31	SDSS J144808.24+371358.8
IGR J17361-4441	2003/03/22	NGC 6388
iPTF16axa	2016/05/29	SDSS J170334.34+303536.6
iPTF16fnl	2016/08/26	MRK 950
J030257	2009/11/08	SDSS J030257.14-082942.6
J091225	2009/02/09	SDSS J091225.01+061014.8
J094608		SDSS J094608.49+351222.4
J094806		SDSS J094806.55+031801.9
J100933	2009/02/20	SDSS J100933.14+232255.8
J113527	2009/04/07	SDSS J113527.29+392810.7
J121116	2009/05/04	SDSS J121116.47+001345.3
J123715	2010/01/23	SDSS J123715.10+601207.0
J130819	2009/04/14	SDSS J130819.12+434525.6
J133737	2009/04/12	SDSS J133737.13+202351.7
J133837	2009/11/02	SDSS J133837.60+573113.2
J134244	2009/04/06	SDSS J134244.41+053056.2
J141036	2009/04/24	SDSS J141036.81+265425.0
J142401	2009/04/26	SDSS J142401.66+295028.4
J145851	2009/04/29	SDSS J145851.65+175057.9
J155223	2009/05/31	SDSS J155223.29+323455.1
J233454		SDSS J233454.07+145712.8
LEDA 095953	1991/07/06	LEDA 095953
MAXI J1807+132	2017/03/15	
NGC 247	2014/07/01	NGC 247
NGC 3599	2002/05/27	NGC 3599
NGC 5905	1990/07/11	NGC 5905
NGC 6021		NGC 6021
OGLE16aaa	2015/12/17	GALEX J010720.81-641621.4
OGLE17aaj	2016/01/28	GALEXASC J015624.70-710415.8
PGC 015259		2MFGC 3645
PGC 1127938		2SLAQ J011844.35-010906.8
PGC 1185375		2MASX J15035028+0107366
PGC 1190358		N5846-162
PGC 133344		6dFGS gJ214256.0-300758
PGC 170392		6dFGS gJ222646.4-150123
PS1-10adi	1905/07/02	SDSS J204244.74+153032.1
PS1-10jh	2010/05/16	SDSS J160928.27+534023.9
PS1-11af	2010/12/30	SDSS J095726.82+031400.9
PS1-12yp	2012/03/01	SDSS J133155.90+235405.8
PS1-13jw	1905/07/05	SDSS J084453.56+425744.8
PTF09axc	2009/06/20	SDSS J145313.07+221432.2
PTF09djl	2009/07/24	SDSS J163355.97+301416.6
PTF09ge	2009/05/07	SDSS J145703.17+493640.9
PTF10iya	2010/06/11	SDSS J143840.98+373933.4
PTF10nuj	1905/07/02	SDSS J162624.66+544221.4
PTF11glr	1905/07/03	SDSS J165406.16+412015.4
RBS 1032	1990/11/05	SDSS J114726.69+494257.8
RX J1242-11A	1992/07/15	RX J1242.6-1119A
RX J1420+53	1990/07/11	RX J1420.4+5334
RX J1624+75	1990/08/25	RX J1624.9+7554
SDSSJ0159	2000/07/29	SDSS J015957.64+003310.4
SDSSJ0748		SDSS J074820.67+471214.3
SDSSJ0952	2008/02/05	SDSS J095209.56+214313.3
SDSSJ1201+30	2010/06/10	SDSS J120136.02+300305.5
SDSSJ1311	2004/02/28	SDSS J131122.15-012345.6
